,a,b,c,d,e
0,10.590051028414171,26.191884652544783,-30.6340671708097,2.3643242579970356,Category 0
1,8.669479819537875,22.364264945403104,-25.52859545605759,1.558526953487981,Category 0
2,10.473552510364673,26.396606188054523,-25.77748273985269,1.8066739274608,Category 0
3,5.9469011817109605,17.069786934365734,-19.31169886369758,1.2073905220188887,Category 1
4,11.449457044946426,28.229418406822376,-28.239488645765988,1.0546860668247964,Category 1
5,9.16005816678422,23.213218070166548,-24.035343200290974,1.2328721083805978,Category 1
6,11.768469356398004,28.725059125797415,-31.05886499921697,2.171159226348653,Category 0
7,7.982466178497326,20.984785049518006,-23.00193313952641,2.7124055019373823,Category 0
8,9.71118323101877,24.984665754504164,-25.254298687991,1.1248604009542742,Category 0
9,9.705915606460792,24.025877911588847,-22.038089560391064,2.6830409517839113,Category 0
10,8.05099390558878,21.129391958027362,-22.320599939496887,2.584685646880323,Category 0
11,10.664337364048995,26.119591036077136,-29.442747747894824,2.1083414872742514,Category 0
12,7.44318090011517,20.379150333438776,-24.302518618751748,1.4021526732189427,Category 1
13,9.86133617166519,25.26174270655075,-27.030083825324457,2.765346228527673,Category 0
14,7.974300850815213,20.819280277282594,-23.742557158686363,1.7491622442680288,Category 1
15,11.336607161362284,27.483849787188888,-29.81565954217824,2.904061686937049,Category 0
16,10.116836158923192,25.032435525448392,-26.551782297193473,2.144253996765796,Category 0
17,11.941748611472457,28.64759697990719,-29.21389297062396,1.273045415550401,Category 0
18,9.537903350036071,24.271652311182685,-22.678756932184655,1.8358237269413606,Category 0
19,11.852425569974148,28.521934166981303,-33.215602168648395,1.7229764814599517,Category 0
20,10.93507798171954,26.560700795703315,-29.78902207435418,1.5307786225218982,Category 1
21,9.87799828612266,24.549738948074197,-25.160941380405994,1.8557254210929612,Category 0
22,9.762597341586194,24.430972249981835,-24.867413371613573,2.9584874706821513,Category 0
23,9.804406432384505,24.607463961397507,-27.044099437524036,2.0370320296605824,Category 0
24,8.119497023153476,21.23137588644591,-27.91127835144294,2.3235520477013045,Category 0
25,10.264984543839253,25.614517879227513,-29.438630946724118,2.236895483288989,Category 0
26,11.106511538658886,27.386275665988638,-28.703789489758872,1.3308453950525057,Category 0
27,8.092422752425044,20.81282103869329,-25.025020514189404,1.5194487821108411,Category 0
28,9.662354549687675,24.049515062228117,-25.329906754174957,2.0657149964869452,Category 1
